id,counsil_short_name,name,status,kind,urls,phone_numbers
500262688,נווה מדבר,מועצה אזורית נווה מדבר,ACTIVE,רשות מקומית,http://www.nevemidbar.org.il/Pages/default.aspx,08-6202555
500224563,משגב,מועצה אזורית משגב,ACTIVE,רשות מקומית,https://www.misgav.org.il/,04-9902030
500277785,הר חברון,מועצה אזורית הר חברון,ACTIVE,רשות מקומית,https://www.hrhevron.co.il/,02-9969100/111
500262522,מעלה יוסף,מועצה אזורית מעלה יוסף,ACTIVE,רשות מקומית,https://www.myosef.org.il/Pages/default.aspx,04-9105522
500204722,אבו גוש,מועצה מקומית אבו גוש,ACTIVE,רשות מקומית,https://www.abugosh.muni.il/,02-6302700
500204730,אבו סנאן,מועצה מקומית אבו סנאן,ACTIVE,רשות מקומית,https://www.abu-sinan.muni.il,04-9568800
500224043,מטה אשר,מועצה אזורית מטה אשר,ACTIVE,רשות מקומית,https://www.matte-asher-region.muni.il/he/,04-9879666
500242201,דרום השרון,מועצה אזורית דרום השרון,ACTIVE,רשות מקומית,https://www.dsharon.org.il/,03-9000522
500210265,מטה יהודה,מועצה אזורית מטה יהודה,ACTIVE,רשות מקומית,https://www.m-yehuda.org.il,*8108
500223086,הגלבוע,מועצה אזורית הגלבוע,ACTIVE,רשות מקומית,https://www.hagilboa.org.il/,04-6533234
500223094,עמק יזרעאל,מועצה אזורית עמק יזרעאל,ACTIVE,רשות מקומית,https://www.emekyizrael.org.il/,04-6520111
500229711,גולן,מועצה אזורית גולן,ACTIVE,רשות מקומית,https://www.golan.org.il/,04-6969700
500222062,עמק הירדן,מועצה אזורית עמק הירדן,ACTIVE,רשות מקומית,https://www.j-v.org.il/,04-6757600
500277009,עפולה,עיריית עפולה,ACTIVE,רשות מקומית,https://www.afula.muni.il/he-il/%D7%90%D7%AA%D7%A8-%D7%94%D7%A2%D7%99%D7%A8/,04-6520333
500261334,באר טוביה,מועצה אזורית באר-טוביה,ACTIVE,רשות מקומית,https://beer-tuvia.org.il/,08-8509700
500243407,שדות דן,מועצה אזורית שדות דן,ACTIVE,רשות מקומית,https://www.sdan.org.il/,073-2230600
500242250,חבל מודיעין,מועצה אזורית חבל מודיעין,ACTIVE,רשות מקומית,https://www.modiin-region.muni.il/,03-9722822
500241161,עמק חפר,מועצה אזורית עמק חפר,ACTIVE,רשות מקומית,https://www.hefer.org.il/,09-8981605
500261508,לכיש,מועצה אזורית לכיש,ACTIVE,רשות מקומית,https://lachish.org.il/,1599-50-6000
500245022,עכו,עיריית עין קיניה,ACTIVE,רשות מקומית,http://www.akko.muni.il/,04-9956130
500262696,אל קסום,מועצה אזורית אל קסום,ACTIVE,רשות מקומית,http://www.alqasoum.org.il/he/,08-6796120
500232145,מנשה,מועצה אזורית מנשה,ACTIVE,רשות מקומית,http://www.menashe.co.il/,04-6177300
500261359,יואב,מועצה אזורית יואב,ACTIVE,רשות מקומית,https://www.yoav.org.il/objDoc.asp?PID=358245&OID=474554,08-8500707
500273727,שומרון,מועצה אזורית שומרון,ACTIVE,רשות מקומית,http://www.shomron.org.il/,03-9066444
500237508,אלפי מנשה,מועצה מקומית אלפי מנשה,ACTIVE,רשות מקומית,https://www.alfe-menashe.muni.il/,09-9538200
500276761,גוש עציון,מועצה אזורית גוש עציון,ACTIVE,רשות מקומית,https://www.baitisraeli.co.il/,02-9939910
500221023,מרום הגליל,מועצה אזורית מרום הגליל,ACTIVE,רשות מקומית,https://www.mrg.org.il/,04-6919816
500275748,מגילות ים המלח,מועצה אזורית מגילות ים המלח,ACTIVE,רשות מקומית,https://www.dead-sea.org.il/?item=223&section=288,02-9945000
500274733,מטה בנימין,מועצה אזורית מטה בנימין,ACTIVE,רשות מקומית,https://www.binyamin.org.il/,02-9977212
500262399,שדות נגב,מועצה אזורית שדות נגב,ACTIVE,רשות מקומית,https://www.sdotnegev.org.il/,08-9938901
500261342,שפיר,מועצה אזורית שפיר,ACTIVE,רשות מקומית,http://www.shaffir.org.il/Pages/default.aspx,08-8508922
500221015,הגליל העליון,מועצה אזורית הגליל העליון,ACTIVE,רשות מקומית,https://www.galil-elion.org.il/,04-6816466
500262381,אשכול,מועצה אזורית אשכול,ACTIVE,רשות מקומית,https://eshkol.info,08-9929102
500232459,אלונה,מועצה אזורית אלונה,ACTIVE,רשות מקומית,https://www.alona.org.il/,04-6288526
